21 76
19 8 19
13 19 20
4 15 15
4 20 6
6 17 11
17 12 2
7 1 16
18 16 6
16 15 20
11 6 6
0 12 15
15 18 16
3 18 9
13 5 9
3 7 13
3 8 20
13 2 13
14 4 8
2 1 9
0 4 10
14 7 14
20 12 17
18 8 20
0 3 18
7 19 6
9 14 19
14 1 10
3 2 14
12 5 3
3 12 19
20 19 5
8 6 20
19 1 10
17 7 17
15 8 1
5 6 13
3 14 18
14 11 6
18 7 15
7 4 3
11 10 14
12 10 18
11 20 1
11 17 11
0 10 13
9 8 7
11 3 11
0 16 8
19 5 6
9 1 4
9 17 15
2 5 20
7 10 11
15 14 2
4 3 7
9 20 7
13 10 20
16 17 1
13 3 11
4 10 16
9 11 3
19 4 9
8 5 3
9 16 4
16 11 19
15 13 12
4 13 20
12 19 7
0 13 4
19 2 10
15 17 17
15 2 8
16 10 12
2 12 12
14 8 6
2 17 2
